PRICE,LAPTOP_CONDITION,LAPTOP_BRAND,LAPTOP_MODEL,DEDICATED_GPU,GPU_GENERAL,GPU_INTEGRATED,CPU,RAM_SIZE,RAM_TYPE,SSD_SIZE,HDD_SIZE,STORAGE_SIZE,STORAGE_TYPE,SCREEN_SIZE,SCREEN_FREQUENCY,SCREEN_RESOLUTION,CITY,POST_YEAR,POST_MONTH
42000.0,Good Condition,APPLE,MACBOOK AIR,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5,8GB,NeedToBeFilled,128GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.0,60Hz,Unknown,Unknown,2024,10
118000.0,Never Used (New),SAMSUNG,GALAXY,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5 120U,8GB,DDR4X,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.6,60Hz,1920x1080,Unknown,2024,11
138000.0,Good Condition,APPLE,MACBOOK PRO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,7TH GEN INTEL CORE I5 7360U,8GB,NeedToBeFilled,128GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.0,60Hz,Unknown,Unknown,2019,4
285000.0,Never Used (New),MSI,NeedToBeFilled,NVIDIA GEFORCE RTX 4060,NeedToBeFilled,NeedToBeFilled,INTEL CORE ULTRA 7 155H,16GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,Unknown,Unknown,2025,6
174000.0,Never Used (New),HP,VICTUS,NVIDIA GEFORCE RTX 3050,NeedToBeFilled,NeedToBeFilled,INTEL CORE I5 12450H,8GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,Unknown,Unknown,2025,7
12000.0,Good Condition,SONY,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,2ND GEN INTEL CORE I7,4GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.0,60Hz,Unknown,Unknown,2025,6
117000.0,Good Condition,DELL,LATITUDE,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13TH GEN INTEL CORE I7 1365U,16GB,NeedToBeFilled,512GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,1920x1080,Unknown,2024,10
6000.0,Average Condition,LENOVO,THINKPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,INTEL CORE I3 3300,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,15.7,60Hz,Unknown,Unknown,2025,8
80000.0,Good Condition,RAZER,BLADE,NVIDIA GEFORCE GTX 1060,NeedToBeFilled,NeedToBeFilled,INTEL CORE I7 6700HQ,16GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,3840x2160,Unknown,2025,6
32000.0,Good Condition,ASUS,VIVOBOOK,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,3RD GEN INTEL CORE I7,4GB,NeedToBeFilled,NeedToBeFilled,500GB,NeedToBeFilled,NeedToBeFilled,15.0,60Hz,Unknown,Unknown,2022,6
89000.0,Good Condition,LENOVO,THINKPAD,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,8TH GEN INTEL CORE I5 8250U,8GB,NeedToBeFilled,256GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,14.0,60Hz,Unknown,Unknown,2019,7
190000.0,NeedToBeFilled,APPLE,MACBOOK PRO,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,APPLE M2,16GB,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,NeedToBeFilled,13.0,60Hz,Unknown,Unknown,2024,11
